1cte:17.2019,etheta:-1.53269,cmd_vel.linear.x:0,cmd_vel.angular.z:0
2cte:0.135103,etheta:-0.823661,cmd_vel.linear.x:0.7,cmd_vel.angular.z:0.0815964
3cte:0.13511,etheta:-0.823708,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.162794
4cte:0.135033,etheta:-0.823617,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.161563
5cte:0.134955,etheta:-0.823532,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.162101
6cte:0.124623,etheta:-0.745399,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.162408
7cte:0.124875,etheta:-0.745733,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.349018
8cte:0.124728,etheta:-0.745543,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.346746
9cte:0.124714,etheta:-0.745325,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.347901
10cte:0.124714,etheta:-0.745325,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.35548
11cte:0.125441,etheta:-0.744818,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.35548
12cte:0.125393,etheta:-0.744867,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.40404
13cte:0.124154,etheta:-0.743185,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.400356
14cte:0.114493,etheta:-0.732336,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.412265
15cte:0.114493,etheta:-0.732336,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.414798
16cte:0.103573,etheta:-0.720182,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.414798
17cte:0.0810614,etheta:-0.692957,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.398227
18cte:0.0607569,etheta:-0.664008,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.386375
19cte:0.0397527,etheta:-0.633533,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.392962
20cte:0.0397527,etheta:-0.633533,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.397693
21cte:0.014688,etheta:-0.592956,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.397693
22cte:-0.00212719,etheta:-0.580932,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.416216
23cte:-0.0353118,etheta:-0.515316,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.36874
24cte:-0.054427,etheta:-0.47007,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.383904
25cte:-0.054427,etheta:-0.47007,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.359588
26cte:-0.0800589,etheta:-0.401977,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.359588
27cte:-0.0747071,etheta:-0.494938,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.657448
28cte:-0.100278,etheta:-0.420574,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.179706
29cte:-0.11385,etheta:-0.373373,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-1.00884
30cte:-0.11385,etheta:-0.373373,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-1.12349
31cte:-0.132513,etheta:-0.290328,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-1.12349
32cte:-0.0866707,etheta:-0.513324,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-1.27102
33cte:-0.114828,etheta:-0.414752,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-1.16422
34cte:-0.129789,etheta:-0.347838,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-1.34542
35cte:-0.146935,etheta:-0.252359,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-1.37778
36cte:-0.1466,etheta:-0.251755,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-1.48536
37cte:-0.0741793,etheta:-0.260783,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-1.48249
38cte:-0.0866806,etheta:-0.190626,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-1.99188
39cte:-0.0939417,etheta:-0.143702,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-2.2204
40cte:-0.101154,etheta:-0.0812142,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.899281
41cte:-0.101154,etheta:-0.0812142,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.912724
42cte:-0.0370113,etheta:-0.0387872,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.912724
43cte:-0.0401873,etheta:-0.0198555,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-1.82535
44cte:-0.0399969,etheta:-0.00706013,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-1.97395
45cte:-0.0399969,etheta:-0.00706013,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-2.06504
46cte:-0.0403434,etheta:0.014754,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-2.06504
47cte:-0.0364858,etheta:-0.0352944,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.646058
48cte:-0.0345744,etheta:-0.00376921,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.931795
49cte:-0.0305962,etheta:0.0159292,cmd_vel.linear.x:1.4,cmd_vel.angular.z:2.07055
50cte:-0.0245006,etheta:0.0414662,cmd_vel.linear.x:1.4,cmd_vel.angular.z:2.25512
51cte:-0.0245006,etheta:0.0414662,cmd_vel.linear.x:1.4,cmd_vel.angular.z:2.55861
52cte:-0.015224,etheta:0.0706175,cmd_vel.linear.x:1.4,cmd_vel.angular.z:2.55861
53cte:-0.0065528,etheta:0.0916349,cmd_vel.linear.x:1.4,cmd_vel.angular.z:2.88452
54cte:-0.0490699,etheta:-0.0858586,cmd_vel.linear.x:1.4,cmd_vel.angular.z:3.17574
55cte:-0.0529636,etheta:-0.0759131,cmd_vel.linear.x:1.4,cmd_vel.angular.z:4.15506
56cte:-0.0529636,etheta:-0.0759131,cmd_vel.linear.x:1.4,cmd_vel.angular.z:4.4617
57cte:0.0690222,etheta:0.32389,cmd_vel.linear.x:1.4,cmd_vel.angular.z:4.4617
58cte:0.083193,etheta:0.220922,cmd_vel.linear.x:1.4,cmd_vel.angular.z:4.12625
59cte:0.0855174,etheta:0.145063,cmd_vel.linear.x:1.4,cmd_vel.angular.z:4.90095
60cte:0.0818736,etheta:0.0114598,cmd_vel.linear.x:1.4,cmd_vel.angular.z:5.01899
61cte:0.0851791,etheta:0.0178425,cmd_vel.linear.x:1.4,cmd_vel.angular.z:5.28609
62cte:-0.147017,etheta:-0.500467,cmd_vel.linear.x:1.4,cmd_vel.angular.z:5.30042
63cte:-0.214092,etheta:-0.43422,cmd_vel.linear.x:1.4,cmd_vel.angular.z:5.70437
64cte:-0.266367,etheta:-0.360931,cmd_vel.linear.x:1.4,cmd_vel.angular.z:5.91434
65cte:-0.262225,etheta:-0.361133,cmd_vel.linear.x:1.4,cmd_vel.angular.z:6.08672
66cte:-0.344394,etheta:-0.206147,cmd_vel.linear.x:1.4,cmd_vel.angular.z:6.08672
67cte:-0.393672,etheta:-0.0688791,cmd_vel.linear.x:1.4,cmd_vel.angular.z:6.2867
68cte:-0.459848,etheta:0.0902916,cmd_vel.linear.x:1.4,cmd_vel.angular.z:4.05384
69cte:-0.462047,etheta:-0.346065,cmd_vel.linear.x:1.4,cmd_vel.angular.z:3.67821
70cte:-0.518209,etheta:0.030129,cmd_vel.linear.x:1.4,cmd_vel.angular.z:4.97573
71cte:-0.518209,etheta:0.030129,cmd_vel.linear.x:1.4,cmd_vel.angular.z:4.74754
72cte:-0.485436,etheta:0.0933691,cmd_vel.linear.x:1.4,cmd_vel.angular.z:4.74754
73cte:-0.420587,etheta:-0.199326,cmd_vel.linear.x:1.4,cmd_vel.angular.z:4.43496
74cte:-0.480633,etheta:0.25887,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.631318
75cte:-0.480633,etheta:0.25887,cmd_vel.linear.x:1.4,cmd_vel.angular.z:2.28042
76cte:-0.467051,etheta:0.467246,cmd_vel.linear.x:1.4,cmd_vel.angular.z:2.28042
77cte:-0.422077,etheta:0.568718,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-3.96669
78cte:-0.369377,etheta:0.609721,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-4.80266
79cte:-0.324824,etheta:0.618078,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-5.52881
80cte:-0.30503,etheta:0.759816,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.83099
81cte:-0.309046,etheta:0.76437,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.27458
82cte:-0.253111,etheta:0.722518,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.23997
83cte:-0.194512,etheta:0.63474,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.57035
84cte:-0.165157,etheta:0.557278,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.75815
85cte:-0.233744,etheta:0.668702,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.552059
86cte:-0.204265,etheta:0.55394,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.99946
87cte:-0.194857,etheta:0.479908,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-2.30953
88cte:-0.268953,etheta:0.810573,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-2.41186
89cte:-0.273247,etheta:0.845083,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-1.64513
90cte:-0.273247,etheta:0.845083,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-2.13268
91cte:-0.301229,etheta:0.902416,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-2.13268
92cte:-0.34605,etheta:0.901526,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-3.09826
93cte:-0.393531,etheta:0.826602,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-3.83312
94cte:-0.436702,etheta:0.695847,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-4.39471
95cte:-0.482252,etheta:0.368009,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.99894
96cte:-0.482252,etheta:0.368009,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.98922
97cte:-0.508,etheta:0.00583087,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.98846
98cte:-0.551107,etheta:-0.468329,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.98777
99cte:-0.582821,etheta:-0.698617,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.98571
100cte:-0.582821,etheta:-0.698617,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.98656
101cte:-0.64375,etheta:-0.944414,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.98656
102cte:-0.703696,etheta:-1.06384,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.98445
103cte:-0.743229,etheta:-0.977415,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.97854
104cte:-0.75383,etheta:-1.10393,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.98749
105cte:-0.686256,etheta:-0.886734,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.96306
106cte:-0.686256,etheta:-0.886734,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.88569
107cte:-0.760398,etheta:-0.584929,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.88569
108cte:-0.975686,etheta:-1.06322,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.80751
109cte:-0.905328,etheta:-1.21299,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.65355
110cte:-0.836425,etheta:-0.915896,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.52932
111cte:-0.836425,etheta:-0.915896,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.32278
112cte:-1.23754,etheta:0.251394,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.32278
113cte:-1.09902,etheta:-0.754391,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.14819
114cte:-0.935036,etheta:-0.914869,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-6.78911
115cte:-0.935036,etheta:-0.914869,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-6.53438
116cte:-0.611459,etheta:-0.924738,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-6.53438
117cte:-0.405137,etheta:-0.772005,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-6.03709
118cte:-0.0783378,etheta:-0.736953,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-5.58482
119cte:-0.0292852,etheta:-0.330703,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-5.02108
120cte:-0.0292852,etheta:-0.330703,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-4.56969
121cte:-0.0124907,etheta:0.0179807,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-4.56969
122cte:-0.0323294,etheta:0.106361,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-3.81869
123cte:-0.105012,etheta:0.0151975,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-3.23608
124cte:-0.167502,etheta:-0.148015,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-2.29929
125cte:-0.240948,etheta:-0.322538,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-1.66656
126cte:-0.240948,etheta:-0.322538,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.682085
127cte:-0.258615,etheta:-0.30048,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.672045
128cte:-0.256552,etheta:-0.203194,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.072404
129cte:-0.247693,etheta:-0.097925,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.618054
130cte:-0.22606,etheta:-0.039953,cmd_vel.linear.x:1.4,cmd_vel.angular.z:1.11087
131cte:-0.22606,etheta:-0.039953,cmd_vel.linear.x:1.4,cmd_vel.angular.z:1.72213
132cte:-0.216747,etheta:0.0275657,cmd_vel.linear.x:1.4,cmd_vel.angular.z:1.72213
133cte:-0.215441,etheta:-0.0367087,cmd_vel.linear.x:1.4,cmd_vel.angular.z:2.04483
134cte:-0.22113,etheta:-0.130399,cmd_vel.linear.x:1.4,cmd_vel.angular.z:1.9969
135cte:-0.231547,etheta:-0.288647,cmd_vel.linear.x:1.4,cmd_vel.angular.z:1.71874
136cte:-0.231547,etheta:-0.288647,cmd_vel.linear.x:1.4,cmd_vel.angular.z:1.179
137cte:-0.232716,etheta:-0.426187,cmd_vel.linear.x:1.4,cmd_vel.angular.z:1.179
138cte:-0.252897,etheta:-0.436818,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.784088
139cte:0.0280838,etheta:-1.14452,cmd_vel.linear.x:1.4,cmd_vel.angular.z:0.135035
140cte:-0.0157304,etheta:-1.13958,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.419459
141cte:-0.0157304,etheta:-1.13958,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-1.10824
142cte:-0.0465857,etheta:-1.11167,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-1.06358
143cte:-0.152083,etheta:-0.953185,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-1.49932
144cte:-0.169956,etheta:-0.914754,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-1.91485
145cte:-0.169956,etheta:-0.914754,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-1.9785
146cte:-0.199462,etheta:-0.865149,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-1.9785
147cte:-0.215555,etheta:-0.808902,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-1.88464
148cte:-0.211549,etheta:-0.805872,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.934586
149cte:-0.233847,etheta:-0.720909,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.939278
150cte:-0.233847,etheta:-0.720909,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.94891
151cte:-0.266861,etheta:-0.54417,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.94891
152cte:-0.280303,etheta:-0.411201,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.925669
153cte:-0.301781,etheta:-0.153931,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.931792
154cte:-0.0542462,etheta:0.0439708,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.754416
155cte:-0.0463652,etheta:0.180919,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.347571
156cte:-0.041453,etheta:0.1792,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.346272
157cte:-0.0298229,etheta:0.247987,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.272774
158cte:-0.0120164,etheta:0.303942,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-0.231807
159cte:-0.000852545,etheta:0.318555,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-3.41118
160cte:0.0106391,etheta:0.323016,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-3.51359
161cte:0.0106391,etheta:0.323016,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-3.65097
162cte:0.0277942,etheta:0.305338,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-3.5611
163cte:0.0421905,etheta:0.254807,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-3.80079
164cte:0.0503205,etheta:0.211526,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-4.02439
165cte:0.0578745,etheta:0.126247,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-4.18402
166cte:0.0578745,etheta:0.126247,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-4.48167
167cte:0.0600329,etheta:-0.0356367,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-4.48167
168cte:0.0564528,etheta:-0.122935,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-4.88933
169cte:0.0436372,etheta:-0.286834,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-6.45376
170cte:0.0277625,etheta:-0.391855,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-6.59831
171cte:0.0277625,etheta:-0.391855,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-6.6963
172cte:-0.00449887,etheta:-0.550726,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-6.6963
173cte:-0.0300881,etheta:-0.625057,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-6.87993
174cte:-0.0612415,etheta:-0.749476,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-6.94112
175cte:-0.0612415,etheta:-0.749476,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.1455
176cte:-0.0494039,etheta:-0.791009,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.1455
177cte:-0.0551009,etheta:-0.923422,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.2205
178cte:-0.0607832,etheta:-0.961818,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.40253
179cte:-0.0742285,etheta:-1.00124,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.45383
180cte:-0.0683242,etheta:-1.0032,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.5066
181cte:-0.0683242,etheta:-1.0032,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.50708
182cte:-0.0556971,etheta:-1.01518,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.50708
183cte:-0.0496919,etheta:-0.99467,cmd_vel.linear.x:1.4,cmd_vel.angular.z:-7.51787
